level,character,meaning,sound
3,彩,채색,채
3,債,빚,채
3,菜,나물,채
2,采,풍채,채
2,蔡,성씨,채
2,埰,사패지,채
5,責 ,꾸짖을,책
4,冊 ,책,책
3,策,꾀,책
4,處 ,곳,처
3,妻,아내,처
2,悽,슬퍼할,처
3,戚,겨레,척
3,尺,자,척
3,斥,물리칠,척
2,隻,외짝,척
2,陟,오를,척
3,拓,넓힐/박을,척/탁
7,千 ,일천,천
7,川 ,내,천
7,天 ,하늘,천
4,泉 ,샘,천
3,踐,밟을,천
3,遷,옮길,천
3,賤,천할,천
3,淺,얕을,천
3,薦,천거할,천
2,釧,팔찌,천
5,鐵 ,쇠,철
3,哲,밝을,철
3,徹,통할,철
2,喆,밝을,철
2,澈,맑을,철
2,撤,거둘,철
3,添,더할,첨
3,尖,뾰족할,첨
2,瞻,볼,첨
3,妾,첩,첩
2,諜,염탐할,첩
8,靑 ,푸를,청
6,淸 ,맑을,청
4,請 ,청할,청
4,聽 ,들을,청
4,廳 ,관청,청
3,晴,갤,청
6,體 ,몸,체
3,滯,막힐,체
3,遞,갈릴,체
3,逮,잡을,체
3,替,바꿀,체
2,締,맺을,체
7,草 ,풀,초
5,初 ,처음,초
4,招 ,부를,초
3,肖,닮을,초
3,礎,주춧돌,초
3,超,뛰어넘을,초
3,秒,분초,초
3,抄,뽑을,초
2,楚,초나라/회초리,초
2,哨,망볼,초
2,焦,그을릴,초
3,促,재촉할,촉
3,觸,닿을,촉
3,燭,촛불,촉
2,蜀,나라이름,촉
8,寸 ,마디,촌
7,村 ,마을,촌
4,銃 ,총,총
4,總 ,다,총
3,聰,귀밝을,총
5,最 ,가장,최
3,催,재촉할,최
2,崔,성씨/높을,최
7,秋 ,가을,추
3,追,따를,추
3,醜,추할,추
3,抽,뽑을,추
2,楸,가래나무,추
2,鄒,나라이름,추
2,趨,달아날,추
4,推 ,밀,추/퇴
5,祝 ,빌,축
4,蓄 ,모을,축
4,築 ,쌓을/악기,축
4,縮 ,줄일,축
3,畜,기를,축
3,逐,쫓을,축
3,丑,두번째 지지/소,축
2,軸,굴대,축
2,蹴,찰,축
7,春 ,봄,춘
2,椿,참죽나무,춘
7,出 ,날,출
5,充 ,채울,충
4,蟲 ,벌레,충
4,忠 ,충성,충
3,衝,찌를,충
2,沖,화할/빌,충
2,衷,속마음,충
4,取 ,취할,취
4,就 ,나아갈,취
4,趣 ,뜻,취
3,醉,취할,취
3,吹,불,취
3,臭,냄새,취
2,聚,모을,취
2,炊,불땔,취
4,測 ,헤아릴,측
3,側,곁,측
4,層 ,층,층
5,致 ,이를,치
4,齒 ,이,치
4,置 ,둘,치
4,治 ,다스릴,치
3,値,값,치
3,恥,부끄러워할,치
3,稚,어릴,치
2,雉,꿩,치
2,峙,언덕,치
5,則 ,법/곧,칙/즉
6,親 ,친할,친
8,七 ,일곱,칠
3,漆,옻,칠
4,侵 ,넘을,침
4,針 ,바늘,침
4,寢 ,잘,침
3,浸,담글,침
3,枕,베게,침
3,沈,잠길/성씨,침/심
4,稱 ,일컬을,칭
4,快 ,쾌할,쾌
5,他 ,남,타
5,打 ,칠,타
3,墮,떨어질,타
3,妥,온당할,타
5,卓 ,책상/높을,탁
3,濁,흐릴,탁
3,濯,씻을,탁
3,托,맡길,탁
2,託,부탁할,탁
2,琢,다듬을,탁
5,炭 ,숯,탄
4,彈 ,탄알,탄
4,歎 ,탄식할,탄
3,誕,거짓/낳을,탄
2,灘,여울,탄
4,脫 ,벗을,탈
3,奪,빼앗을,탈
4,探 ,찾을,탐
3,貪,탐할,탐
2,耽,즐길,탐
3,塔,탑,탑
3,湯,끓일,탕
6,太 ,클,태
4,態 ,모습,태
3,殆,위태할,태
3,泰,클,태
3,怠,게으를,태
2,颱,태풍,태
2,胎,아이밸,태
2,兌,바꿀,태
2,台,별,태
4,擇 ,가릴,택
